id,type,room,start,end,language,zh,en,speakers,speakerZhName,speakerEnName,speakerZhBio,speakerEnBio,speakerAvatar,tags,co_write,qa,slide,record,year
ZUN3P8,w7u8dm,TR412-2,2021-07-31 13:50:00,2021-07-31 14:10:00,漢語,"{'title': 'Wikidata 著錄問題，開源工具可以幫忙什麼', 'description': 'Wikidata 至今已經累計九億條條目，面臨資料問題（bad data）的挑戰。例如重複條目名稱或內容、維基百科的來源條目移動或版本變動，而與維基百科、開放街圖條目相互參照的 Wikidata 並未連動調整。\r\n\r\n本講座分享採用開源工具、MediaWiki 開放資料 API 偵測與協助解決資料著錄問題。'}","{'title': 'How to fix bad data issues of WikiData by using the open data tool', 'description': 'Wikidata, which has accumulated 900 million entries to date, but also faces the challenge of bad data. For example, duplicate entry names or content. Second, the Wikipedia source entries that have moved or the content have been updated, but the cross-referenced Wikidata entries have not been adjusted. \r\n\r\nThis talk shares the experience of using open source tools and the MediaWiki open data APIs to detect and help to fix the bad data issues.'}",['MXELNR'],,,,,,['Skilled'],https://hackmd.io/@coscup/BJl_ETwA_/%2F%40coscup%2FHJ_8NTwA_,https://app.sli.do/event/u5lcxpzi,,,2021
YYVUDD,b4q27d,TR412-2,2021-08-01 12:50:00,2021-08-01 13:20:00,English,"{'title': '我的CC0藝術實踐:無條件基本藝術的探索', 'description': '分享自2016年起從事CC0藝術創作的經驗，並討論由藝術創作為出發的無條件基本收入之實踐反省。'}","{'title': 'My CC0 Art Practices: Exploring the Universal Basic Art', 'description': 'Sharing my experiences of doing CC0 artworks since 2016, and discussing reflections of practicing Universal Basic Income from a staring point of art creation.'}",['TRL7N8'],,,,,,[],https://hackmd.io/@coscup/H1v3NaPCu/%2F%40coscup%2FHyFsEawCu,https://app.sli.do/event/flxsk18q,,,2021
NTBPRL,twcru5,TR209,2021-07-31 13:20:00,2021-07-31 13:50:00,漢語,"{'title': 'Memory Management in High-Performance Go Applications: A Case Study of Pebble', 'description': '透過研究 Pebble (CockroachDB 底層的 key-value storage engine)，談談在高效能的需求情境下， Go 專案要如何進行記憶體管理。'}","{'title': 'Memory Management in High-Performance Go Applications: A Case Study of Pebble', 'description': 'Go has several powerful and eye-catching memory management features, such as its highly performant garbage collection and accurate escape analysis. By leveraging these features, Gophers can develop their applications efficiently without worrying about the memory allocation and management stuff in general cases. Therefore, Go is suitable for building Web-backend or cloud-native software. However, when it comes to building high-performance and data-intensive Go applications, garbage collection is still problematic since high pressure and unacceptable stop-the-wall time.\r\nIn this talk, the author will introduce the memory management approaches used for high-performance and data-intensive Go applications by reviewing a Go project - Pebble, an underlying key-value storage engine used by a well-known Go database system - CockroachDB.'}",['KG3SNB'],,,,,,['Skilled'],https://hackmd.io/@coscup/HyHyr6PR_/%2F%40coscup%2FSkQ0VTPA_,https://app.sli.do/event/j7lthbzn,,,2021
CQYSAN,hzlhe0,TR213,2021-08-01 10:50:00,2021-08-01 11:20:00,漢語,"{'title': '資料庫也可以全年無休啦! 神奇的MySQL HA架構拯救你的資料庫!', 'description': '對於大部分企業來說，資料庫是很重要的一環，裡面存放了員工資訊、客戶資訊、產品資訊...等，如果資料庫發生故障會是一件非常嚴重的事，所以大部分使用者都會定期將資料備份，以期能在資料庫損壞時，能夠還原資料，避免資料的遺失。但若是發生在銀行單位，可能會造成使用者無法更新紀錄，交易無法繼續；若是發生在傳統產業，可能會造成產線無法更新資訊，工廠無法正常運作，若是不幸遇到以上狀況，只要我們有備份就不必擔心了嗎？修復系統或是機器設備，甚至是還原資料庫都不是短時間能夠完成的，銀行單位是否能夠給我們數小時的時間，讓我們將資料庫還原呢? 想像一下，ATM如果無法正常使用，那會對多少人造成影響，而對企業來說，產線的停滯會損失多少損益，都是我們無法去想像的。為了避免以上的任何問題，我們必須在資料庫發生故障時，用最短時間讓企業能夠正常運作。為了能夠達成目標，我們可以透過MySQL的HA架構，當資料庫或是系統硬體有問題時，不需經過手動調整，自動的將服務切換至正常的資料庫，使企業與用戶能夠不間斷運作。'}","{'title': '24/7 Database ON AIR!!!', 'description': 'Database plays a key role in most companies. It stores a lot of data, such as employees’ information, product details, customer profile and so on. Apparently, if the database corrupts, the situation will cause serious impact on business operation. Therefore, most users schedule backup procedure in their checking routine to secure data. \r\n\r\nHowever, can we really count on the backup routine? Recovering database may take several hours. As we all know, in tertiary sector, a second delay might cost billion; in secondary sector, a disconnected database might ruin the schedule of production line. So, how Long do you think a company database afford to be down in the Event of a disaster?\r\n\r\nTo avoid above situation, it is important to find out a way that makes system continue working. Here comes MySQL Enterprise High Availability! The MySQL HA can automatically switch the service from a failed database to an active database; thus, companies no longer afraid of losing data and finally get databases 24/7!!'}",['NBGMRW'],,,,,,['Skilled'],https://hackmd.io/@coscup/BJUbHaPRu/%2F%40coscup%2FHJRJHaDAd,https://app.sli.do/event/zjem9xd9,,,2021
AN9QWJ,rmttum,TR411,2021-07-31 14:25:00,2021-07-31 14:55:00,漢語,"{'title': '在文學與生活間擺渡的家鄉敘事', 'description': '2019年4月正式對外開放的鍾肇政文學生活園區，在歷經多年保存行動，從策劃龍潭魯冰花藝術季開始，便跟著「跨語言世代」代表之一的鍾老，他將龍潭家鄉的山、水及生活寫進文學作品，無論是乳姑山、龍潭大池、九座寮泉水窟等地景，從人的生活場域轉化成文學地景。而隨著園區的開放，桃園市客家文化基金會延續過去所累積的基礎，以文學作品、多媒體、文化展覽及推廣連結社區，同時也思考數位時代，以鍾老、文學作品及相關文物為核心建構雲端博物館，並順應客家開放資料計畫的推展，嘗試將一手二手資料推向公眾共享的文化財。\r\n\r\n \r\n\r\n二零一九年四月正式對外開放个鍾肇政文學生活園區，在經過多年个保存行動，對規劃龍潭魯冰花藝術季開始，就跈等「跨語言世代」代表之一个鍾老，佢摎龍潭家鄉个山、水同生活寫入文學作品，無論係乳菇山、龍潭大陂塘、九座寮、泉水空等地景，對人生活个所在轉化做文學地景。隨等園區个開放，桃園市客家文化基金會延續過去所累積个基礎，用文學作品、多媒體、文化展覽摎推廣連結社區，同時乜思考數位時代，將鍾老、文學作品摎相關文物做核心建構雲端博物館，過順等客家開放資料計劃个推展，試將一手二手資料推向公眾共享个文化財。'}","{'title': 'TBD', 'description': 'TBD'}",['G77CTY'],,,,,,['Beginner'],https://hackmd.io/@coscup/r1Xy7pPA_/%2F%40coscup%2FrycAM6vRu,https://app.sli.do/event/bsfd4op5,,,2021
CTUYUE,xp1nli,TR411,2021-08-01 10:55:00,2021-08-01 11:40:00,漢語,"{'title': '大港的開放資料這樣做，高雄農來訊專案分享', 'description': '高雄農來訊是台灣第一個以地方政府主導的農業開放資料應用平台，平台負責人「似任」將分享身在公部門處理資料串接的各種疑難雜症！'}","{'title': 'Agricultural Open Data in Kaohsiung City, From the Governmental View', 'description': 'Kaohsiung Nonglaixun is Taiwan\'s first open agricultural data application platform led by the local government. The person in charge of the platform ""Si Ren"" will share various incurable diseases in dealing with data concatenation in the public sector!'}","['JWKFJU', 'KFMGQX']",,,,,,[],https://hackmd.io/@coscup/HkwQraPA_/%2F%40coscup%2FHJyMSTDRd,https://app.sli.do/event/ikugslpi,,,2021
A9VQTB,4hswou,TR313,2021-08-01 14:00:00,2021-08-01 14:30:00,English,"{'title': ""What's new in OpenRISC"", 'description': 'Before there was RISC-V there was OpenRISC a 32-bit RISC CPU architecture that is still being developed today.\r\nStafford will give discuss the history and architecture of OpenRISC an open source CPU architecture that started in 2000.  We will also discuss the ongoing projects and future goals of the platform.'}","{'title': ""What's new in OpenRISC"", 'description': 'Before there was RISC-V there was OpenRISC a 32-bit RISC CPU architecture that is still being developed today.\r\nStafford will give discuss the history and architecture of OpenRISC an open source CPU architecture that started in 2000.  We will also discuss the ongoing projects and future goals of the platform.'}",['Q9UYSJ'],,,,,,['Beginner'],https://hackmd.io/@coscup/HJjKEpPRu/%2F%40coscup%2FS1MK4avA_,https://app.sli.do/event/zwbt3bbd,,,2021
BCXJRL,4i7znu,TR213,2021-07-31 14:35:00,2021-07-31 15:15:00,漢語,"{'title': 'PostgreSQL ecosystem', 'description': 'PostgreSQL 資料庫除了有穩定的系統核心，更有多樣的週邊套件，建立起完整的生態系。\r\n這節時間會與各位分享在 PostgreSQL 中，常用的套件、發展中的潛力項目、以及有趣的專案。'}","{'title': 'PostgreSQL ecosystem', 'description': 'The section is about the projects in PostgreSQL ecosystem that you need to know, including in common used, with potential, and interesting projects.'}",['PXSVJ7'],,,,,,[],https://hackmd.io/@coscup/rynHHavRu/%2F%40coscup%2FrJmSravAu,https://app.sli.do/event/pgsvs8mg,,,2021
KNDW3F,2qp9uj,TR311,2021-08-01 13:40:00,2021-08-01 14:10:00,English,"{'title': 'jOpenDocument: Restarting the ODF manipulation Java library after a seven-year inactiveness', 'description': ""The OpenDocument Format [1] is a true international standard format for interoperability of office documents, and is also the standard format for LibreOffice. In addition, OpenDocument has a clear XML schema that combines human readability with machine processability. As a result, there are many ODF manipulation libraries for many languages.\r\nAt the speaker's company, we use a Java library named jOpenDocument [2] for our Scala-based automatic report generation tool as I mentioned in last years' talk[3]. It is an excellent library with an easy-to-understand interface and easy-to-create templates to populate with arbitrary information. However, its development ended in 2014, and there is a problem that it is not compatible with newer Java and ODF versions.\r\nIn this talk, I will explain my story of updating such an old Java library and releasing it as OSS.\r\n\r\n[1] http://opendocumentformat.org/ \r\n[2] http://www.jopendocument.org/ \r\n[3] https://speakerdeck.com/naruoga/why-odf-is-the-best-intermediate-format-for-report-generation-systems""}","{'title': 'jOpenDocument: Restarting the ODF manipulation Java library after a seven-year hiatus', 'description': ""The OpenDocument Format [1] is a true international standard format for interoperability of office documents, and is also the standard format for LibreOffice. In addition, OpenDocument has a clear XML schema that combines human readability with machine processability. As a result, there are many ODF manipulation libraries for many languages.\r\nAt the speaker's company, we use a Java library named jOpenDocument [2] for our Scala-based automatic report generation tool as I mentioned in last years' talk[3]. It is an excellent library with an easy-to-understand interface and easy-to-create templates to populate with arbitrary information. However, its development ended in 2014, and there is a problem that it is not compatible with newer Java and ODF versions.\r\nIn this talk, I will explain my story of updating such an old Java library and releasing it as OSS.\r\n\r\n[1] http://opendocumentformat.org/ \r\n[2] http://www.jopendocument.org/ \r\n[3] https://speakerdeck.com/naruoga/why-odf-is-the-best-intermediate-format-for-report-generation-systems""}",['ZMQ9HH'],,,,,,['Skilled'],https://hackmd.io/@coscup/Byawrav0_/%2F%40coscup%2FBJ1DrpwAd,https://app.sli.do/event/i0j9bk3l,,,2021
CHM9KZ,v1wfus,TR313,2021-07-31 10:00:00,2021-07-31 10:30:00,漢語,"{'title': '開源藝術先鋒', 'description': '免費教育版軟體並非自由免費版-製作的成果版權有一部份是軟體公司所有，如何避免這樣的情況？學習自由技能，許多人學習只重技術而非觀念，觀念學習可以懂得如何運用觀念，得到自由。'}","{'title': 'Open Source Vanguard in Arts', 'description': 'The free educational software is not a freedom version-part of the copyright of the results produced is owned by the software company. How to avoid this situation?  To learn free skills, many people only focus on technology instead of concepts. Conceptual learning can understand how to use concepts and gain freedom.'}",['LFXXKG'],,,,,,[],https://hackmd.io/@coscup/BJ35HavRu/%2F%40coscup%2FSyGOB6DAu,https://app.sli.do/event/gfpmjsaq,,,2021
