id,type,room,start,end,language,zh,en,speakers,tags,co_write,qa,slide,record,uri,year
ULNXYH,67qm2a,TR 509,2023-07-29 11:45:00,2023-07-29 12:15:00,中文,"{'title': 'Seediq Wikipidiya', 'description': '賽德克人係為台灣原住民族之一。賽德克語維基媒體用戶組業已於 2021 年正式成立，旨在聚集賽德克語用戶，以提高整個維基媒體運動的意識、使用和內容創作。我們的目標是提高認識、參與和建立賽德克語數據庫。'}","{'title': 'Seediq Wikipidiya', 'description': '賽德克人係為台灣原住民族之一。賽德克語維基媒體用戶組業已於 2021 年正式成立，旨在聚集賽德克語用戶，以提高整個維基媒體運動的意識、使用和內容創作。我們的目標是提高認識、參與和建立賽德克語數據庫。'}",['AKKCQG'],"['zh-tw', 'Beginner']",https://hackmd.io/@coscup/HkfOey1jn,,,https://youtu.be/Of7VGyA7e2Y,https://coscup.org/2023/session/ULNXYH,2023
QYPYUG,2xl65n,TR 510,2023-07-29 11:20:00,2023-07-29 11:50:00,中文,"{'title': 'Make Your Own Ray Tracing GPU with FPGA', 'description': 'When FPGA became affordable, everyone can create his own chip easily nowadays. There are many open sourced FPGA projects on the Internet so even a non-experience software engineer can make their own chip easily. \r\n\r\nIn this session, I will introduce the basic concepts and resources for the audiences who want to learn how to make their own chip. I will also introduce the basic concepts behinds my open sourced ray tracing GPU project.'}","{'title': 'Make Your Own Ray Tracing GPU with FPGA', 'description': 'When FPGA became affordable, everyone can create his own chip easily nowadays. There are many open sourced FPGA projects on the Internet so even a non-experience software engineer can make their own chip easily. \r\n\r\nIn this session, I will introduce the basic concepts and resources for the audiences who want to learn how to make their own chip. I will also introduce the basic concepts behinds my open sourced ray tracing GPU project.'}",['N9ML9W'],"['zh-tw', 'Beginner']",https://hackmd.io/@coscup/S1Peky1sn,,,https://youtu.be/ypVvniHDlk0,https://coscup.org/2023/session/QYPYUG,2023
X7SLCR,u55j6p,TR 312,2023-07-30 14:00:00,2023-07-30 14:30:00,中文,"{'title': 'GCP 費用優化分享', 'description': 'GCP 費用優化分享\r\n在這個議程, 預計與大家分享在 GCP 平台上如何進行費用優化\r\n\r\n* 介紹 GCP 費用管理工具與帳單\r\n* 介紹 常用的 GCP 服務與費用優化想法'}","{'title': 'GCP 費用優化分享', 'description': 'GCP 費用優化分享\r\n在這個議程, 預計與大家分享在 GCP 平台上如何進行費用優化\r\n\r\n* 介紹 GCP 費用管理工具與帳單\r\n* 介紹 常用的 GCP 服務與費用優化想法'}",['QBY97S'],"['zh-tw', 'Beginner']",https://hackmd.io/@coscup/rJrZzyJon,,,https://youtu.be/XQqlhEA_gr8,https://coscup.org/2023/session/X7SLCR,2023
V8F9VH,zg1wor,AU,2023-07-29 09:30:00,2023-07-29 10:00:00,English,"{'title': 'An Introduction to JetBrains Exposed: The Kotlin-based ORM Framework', 'description': 'Learn about JetBrains Exposed, a Kotlin-based ORM framework, including its key features and how to build database applications.'}","{'title': 'An Introduction to JetBrains Exposed: The Kotlin-based ORM Framework', 'description': 'Learn about JetBrains Exposed, a Kotlin-based ORM framework, including its key features and how to build database applications.'}",['MJSEW7'],"['en', 'Beginner']",https://hackmd.io/@coscup/r1gGgkkin,,,https://youtu.be/L0F99Am-PcQ,https://coscup.org/2023/session/V8F9VH,2023
TYFMP7,2xl65n,TR 511,2023-07-30 13:40:00,2023-07-30 14:10:00,中文,"{'title': '開源工具加速前端開發 - A framework agnostic solution', 'description': '前端開發常常會碰到一些麻煩或者重複的事情，例如：\r\n1. 配置環境非常麻煩(像是 ESLint、Prettier、VSCode settings..等等)\r\n2. 還有表單驗證\r\n3. 型別檢查\r\n4. 手動撰寫大量串接 API 的函數\r\n5. 後端寫超慢，需要等待後端開發完成才能串接等等..\r\n\r\n舉例來說:\r\n1. 後端提供 API Spec，但：\r\n* 好多 endpoint 要寫\r\n* 寫 request body 一個一個欄位對，好累\r\n2. 使用 TypeScript，但：\r\n* 各種 schema 都要寫 type，寫不完\r\n* response parse 成 json 後型別是 any，好不方便\r\n\r\n所以我們將分享利用各種開源工具來解決或加速處理前端以往會遇到的麻煩事，來讓整個開發變得更彈性且高效。\r\n\r\n更重要的是，這個解決方案是 framework agnostic 的。'}","{'title': '開源工具加速前端開發 - A framework agnostic solution', 'description': '前端開發常常會碰到一些麻煩或者重複的事情，例如：\r\n1. 配置環境非常麻煩(像是 ESLint、Prettier、VSCode settings..等等)\r\n2. 還有表單驗證\r\n3. 型別檢查\r\n4. 手動撰寫大量串接 API 的函數\r\n5. 後端寫超慢，需要等待後端開發完成才能串接等等..\r\n\r\n舉例來說:\r\n1. 後端提供 API Spec，但：\r\n* 好多 endpoint 要寫\r\n* 寫 request body 一個一個欄位對，好累\r\n2. 使用 TypeScript，但：\r\n* 各種 schema 都要寫 type，寫不完\r\n* response parse 成 json 後型別是 any，好不方便\r\n\r\n所以我們將分享利用各種開源工具來解決或加速處理前端以往會遇到的麻煩事，來讓整個開發變得更彈性且高效。\r\n\r\n更重要的是，這個解決方案是 framework agnostic 的。'}","['ZSYQTX', 'TC9VCU']","['zh-tw', 'Beginner']",https://hackmd.io/@coscup/r10m1Jks2,,,https://youtu.be/TEY2fRt2cU0,https://coscup.org/2023/session/TYFMP7,2023
HL88HZ,p449go,TR 213,2023-07-29 12:50:00,2023-07-29 13:20:00,中文,"{'title': 'Reading and modifying the source code of the dbt adapter', 'description': 'In order to calculate the cost of each dbt build execution through dbt-bigquery, I started reading and modifying the source code of the dbt adapter. As long as you have a basic understanding of Python syntax and some simple trace code techniques, such as using ""string"" that do not change and the stack trace when exceptions occur, combined with a debugger, you can easily achieve the desired effect.\r\n\r\n為了想要透過 dbt-bigquery 計算每一次執行 dbt build 的成本，而開始邊讀邊改 dbt adapter 的原始碼。只要你對 Python 有基本的語法概念，再加上簡易的 trace code 技巧：依賴不變的字串與發生例外時的 stack trace，再配合 debugger 就能簡單地改出想要的效果囉！'}","{'title': 'Reading and modifying the source code of the dbt adapter', 'description': 'In order to calculate the cost of each dbt build execution through dbt-bigquery, I started reading and modifying the source code of the dbt adapter. As long as you have a basic understanding of Python syntax and some simple trace code techniques, such as using ""string"" that do not change and the stack trace when exceptions occur, combined with a debugger, you can easily achieve the desired effect.\r\n\r\n為了想要透過 dbt-bigquery 計算每一次執行 dbt build 的成本，而開始邊讀邊改 dbt adapter 的原始碼。只要你對 Python 有基本的語法概念，再加上簡易的 trace code 技巧：依賴不變的字串與發生例外時的 stack trace，再配合 debugger 就能簡單地改出想要的效果囉！'}",['LP8WKR'],"['zh-tw', 'Skilled']",https://hackmd.io/@coscup/BJTxWyyo3,,,https://youtu.be/8HLdqfUfG94,https://coscup.org/2023/session/HL88HZ,2023
EVX7JQ,r3wchb,TR 412-1,2023-07-29 12:50:00,2023-07-29 13:20:00,中文,"{'title': '建構精簡且高效的 RISC-V 指令集和系統模擬器', 'description': '考量到對於 sandbox 執行環境的需求，一個高效能且可嵌入式的 RISC-V 模擬器對滿足這樣的需求至關重要。受益於 RISC-V 的開源指令集和龐大的系統生態系，我們的模擬器得以用較低的記憶體開銷和可接受的執行速度來模擬 RISC-V 程式。 本次將介紹如何實作一個精簡且高效指令集模擬器，另外，也將討論如何透過加入周邊模擬，改造為可運行 Linux 的 RISC-V 系統模擬器。'}","{'title': '建構精簡且高效的 RISC-V 指令集和系統模擬器', 'description': '考量到對於 sandbox 執行環境的需求，一個高效能且可嵌入式的 RISC-V 模擬器對滿足這樣的需求至關重要。受益於 RISC-V 的開源指令集和龐大的系統生態系，我們的模擬器得以用較低的記憶體開銷和可接受的執行速度來模擬 RISC-V 程式。 本次將介紹如何實作一個精簡且高效指令集模擬器，另外，也將討論如何透過加入周邊模擬，改造為可運行 Linux 的 RISC-V 系統模擬器。'}","['XDWMAD', 'AMYEPH']","['zh-tw', 'Skilled']",https://hackmd.io/@coscup/rJ00fkyo2,,,https://youtu.be/t-Xrinsei1c,https://coscup.org/2023/session/EVX7JQ,2023
CZWWVS,09zk2t,TR 214,2023-07-29 13:50:00,2023-07-29 14:20:00,中文,"{'title': '從只會 Docker 到上手 Kubernetes', 'description': '學生碰不到，但企業都在用的 Kubernetes 究竟該如何學習。本場議程中，講者將分享自己從僅會使用 Docker 建立容器，到後來了解並掌握 Kubernetes 的經驗，並提供學習方式，引導大家進入 Kubernetes 的世界。'}","{'title': 'From Docker to mastering Kubernetes', 'description': 'This session focuses on students who are eager to learn about Kubernetes, a widely-used technology in the corporate world, even though they may not have direct exposure to it. The speaker will share their personal journey of transitioning from Docker to mastering Kubernetes, and provide simple and practical learning methods to help students enter the world of Kubernetes.'}",['QJCEQH'],"['zh-tw', 'Skilled']",https://hackmd.io/@coscup/Skg7MJkj2,,,https://youtu.be/Tibfsl0BDUA,https://coscup.org/2023/session/CZWWVS,2023
MG7BDS,udn73f,TR 209,2023-07-30 10:00:00,2023-07-30 10:30:00,中文,"{'title': '使用 Laravel Pennant 處理 Feature Flags', 'description': '介紹 Laravel Pennant 套件如何幫助工程師輕鬆地實現 Feature Flags，以控制網頁不同功能的發佈和切換。'}","{'title': '使用 Laravel Pennant 處理 Feature Flags', 'description': '介紹 Laravel Pennant 套件如何幫助工程師輕鬆地實現 Feature Flags，以控制網頁不同功能的發佈和切換。'}",['MJSEW7'],"['zh-tw', 'Beginner']",https://hackmd.io/@coscup/B1lVx1yin,,,https://youtu.be/2NxS5ltCsGg,https://coscup.org/2023/session/MG7BDS,2023
SAYQPG,oukyin,TR 412-2,2023-07-30 11:35:00,2023-07-30 12:05:00,中文,"{'title': 'Journey on enabling coreboot on Chromebooks', 'description': '分享在coreboot 開發chromebook的經驗'}","{'title': 'Journey on enabling coreboot on Chromebooks', 'description': '分享在coreboot 開發chromebook的經驗'}",['HSCBUH'],"['zh-tw', 'Beginner']",https://hackmd.io/@coscup/HkNE7yko3,,,https://youtu.be/ZFHTA4MsIFA,https://coscup.org/2023/session/SAYQPG,2023
FYPKL9,krme0l,TR 513,2023-07-29 09:30:00,2023-07-29 16:00:00,English,"{'title': 'The Design We Open Workshop - 網路中斷黑客松', 'description': 'The Design We Open Workshop - 網路中斷黑客松'}","{'title': 'The Design We Open Workshop - 網路中斷黑客松', 'description': 'The Design We Open Workshop - 網路中斷黑客松'}","['QRFKGB', '38YEKA', 'Y3UHF3', 'KSJQSC']","['en', 'Beginner']",https://hackmd.io/@coscup/BJUCXy1s2,,,不上傳,https://coscup.org/2023/session/FYPKL9,2023
JBVBZN,lx8gla,TR 509,2023-07-30 10:00:00,2023-07-30 10:30:00,中文,"{'title': '【減碳】讓開放資料助綠色供應鏈一臂之力吧!', 'description': '數位發展與減碳淨零是國家發展的重點政策，更是全球共同的熱門話題。身為農業開放資料社群主揪的阿柴，當然也有跟到這波國際潮流。這次要和大家分享「減碳計算機」的開放專案，我們嘗試在聊天機器人的平台上，讓使用者輸入常見的「重大溫室氣體排放源」例如用電數據、汽柴油、瓦斯等，便能立刻取的二氧化碳排放量的計算結果。預計年底釋出較完整的「農場碳盤查」功能，期待更多人參與專案，未來可結合地圖功能，鼓勵農場主人公開揭露自己場域的溫室氣體排放量，逐步落實減碳的目標。'}","{'title': '【減碳】讓開放資料助綠色供應鏈一臂之力吧!', 'description': '數位發展與減碳淨零是國家發展的重點政策，更是全球共同的熱門話題。身為農業開放資料社群主揪的阿柴，當然也有跟到這波國際潮流。這次要和大家分享「減碳計算機」的開放專案，我們嘗試在聊天機器人的平台上，讓使用者輸入常見的「重大溫室氣體排放源」例如用電數據、汽柴油、瓦斯等，便能立刻取的二氧化碳排放量的計算結果。預計年底釋出較完整的「農場碳盤查」功能，期待更多人參與專案，未來可結合地圖功能，鼓勵農場主人公開揭露自己場域的溫室氣體排放量，逐步落實減碳的目標。'}",['KV9WMD'],"['zh-tw', 'Beginner']",https://hackmd.io/@coscup/HyQKfkyi3,,,無聲音，故不剪輯,https://coscup.org/2023/session/JBVBZN,2023
C7JTLG,oukyin,TR 412-2,2023-07-30 13:30:00,2023-07-30 14:00:00,中文,"{'title': 'Introduction to Booting RISC-V Linux', 'description': 'RISC-V 平台開機過程的簡介，\r\n簡介過程使用到的軟體專案 (U-Boot, OpenSBI, Linux) ，\r\n以及這些軟體專案所扮演的角色。'}","{'title': 'Introduction to Booting RISC-V Linux', 'description': 'RISC-V 平台開機過程的簡介，\r\n簡介過程使用到的軟體專案 (U-Boot, OpenSBI, Linux) ，\r\n以及這些軟體專案所扮演的角色。'}",['FRYEZX'],"['zh-tw', 'Beginner']",https://hackmd.io/@coscup/rydEQJ1o2,,,https://youtu.be/JBul5mhU2lM,https://coscup.org/2023/session/C7JTLG,2023
3WWMFM,idrk8a,TR 616,2023-07-30 13:40:00,2023-07-30 14:10:00,中文,"{'title': 'Docker技術扭轉我的職涯：十年回顧', 'description': '2013年因Docker技術出現後，意識到容器將顛覆IT產業，開始積極投入開源社群，無心插柳成為譯者，技術專欄作家，到金融業技術架構師；透過Docker，學習和使用開源技術已成為資訊人員職涯發展的重要一環。\r\n回顧十年來，如何透過開源技術及開放態度逐步培養個人能力及創造自身價值，如何從程式開發到企業架構規劃的職能轉變，深化硬技能的基礎到培養必備的軟技能，希望這十年的經驗可供開源同好借鏡及反思。'}","{'title': 'Docker技術扭轉我的職涯：十年回顧', 'description': '2013年因Docker技術出現後，意識到容器將顛覆IT產業，開始積極投入開源社群，無心插柳成為譯者，技術專欄作家，到金融業技術架構師；透過Docker，學習和使用開源技術已成為資訊人員職涯發展的重要一環。\r\n回顧十年來，如何透過開源技術及開放態度逐步培養個人能力及創造自身價值，如何從程式開發到企業架構規劃的職能轉變，深化硬技能的基礎到培養必備的軟技能，希望這十年的經驗可供開源同好借鏡及反思。'}",['UHXYCZ'],"['zh-tw', 'Beginner']",https://hackmd.io/@coscup/Hkm-xJJo3,,,https://youtu.be/QamK5iB9l84,https://coscup.org/2023/session/3WWMFM,2023
L78THQ,ifyh1o,TR 212,2023-07-30 10:00:00,2023-07-30 10:30:00,中文,"{'title': 'Stealth Address 如何保護你的鏈上資產隱私', 'description': '你是否有過保護你鏈上資產隱私的需求？有的話來聽聽看'}","{'title': 'Stealth Address 如何保護你的鏈上資產隱私', 'description': '你是否有過保護你鏈上資產隱私的需求？有的話來聽聽看'}",['CEYQ7B'],"['zh-tw', 'Skilled']",https://hackmd.io/@coscup/rkZHWkksh,,,https://youtu.be/8TEXZu9awrE,https://coscup.org/2023/session/L78THQ,2023
SGNHKA,33hy7p,TR 211,2023-07-30 12:50:00,2023-07-30 13:20:00,English,"{'title': 'Demystifying Cloud Native Terminology: Explore the Cloud Native Glossary and Contribute to the Community', 'description': 'As the cloud native movement gains momentum, it becomes increasingly important to understand complex technical terms, concepts, and technologies. The CNCF Cloud Native Glossary (glossary.cncf.io) aims to define cloud native concepts in clear and simple language, making them accessible to everyone. In this session, Seokho Son, one of the maintainers of the Cloud Native Glossary and a CNCF Ambassador, will introduce the project and demonstrate how it can be a valuable resource for understanding cloud native terminology. You can use the Glossary to grasp complex terms and make your first contribution to the CNCF and the Cloud Native community. The community eagerly awaits your contributions! Join this session to learn how to utilize and contribute to the Cloud Native Glossary.'}","{'title': 'Demystifying Cloud Native Terminology: Explore the Cloud Native Glossary and Contribute to the Community', 'description': 'As the cloud native movement gains momentum, it becomes increasingly important to understand complex technical terms, concepts, and technologies. The CNCF Cloud Native Glossary (glossary.cncf.io) aims to define cloud native concepts in clear and simple language, making them accessible to everyone. In this session, Seokho Son, one of the maintainers of the Cloud Native Glossary and a CNCF Ambassador, will introduce the project and demonstrate how it can be a valuable resource for understanding cloud native terminology. You can use the Glossary to grasp complex terms and make your first contribution to the CNCF and the Cloud Native community. The community eagerly awaits your contributions! Join this session to learn how to utilize and contribute to the Cloud Native Glossary.'}",['XVH8LH'],"['en', 'Beginner']",https://hackmd.io/@coscup/Skn2g11i3,,,https://youtu.be/OWI_GZzpJ04,https://coscup.org/2023/session/SGNHKA,2023
